RefID,Associated TC,Associated TC findings,Associated TC analysis,Associated TC statistic,Associated TC value,Unassociated TC
875,Trial duration,Longer studies had significantly higher dropout than shorter studies,Linear ANOVA model,F-statistic; p-value,5.0; p=0.0260,
956,Run-in period,The presence of a behavioural run-in period was associated with a trend towards higher 12-month retention (lower 12-month attrition),Metaregression,Estimate [95% CI]; p-value,"4.6 [-0.1, 9.4]; p=0.057",
996,None,None,None,None,None,"Treatment arm, intervention duration, sample size"
1035,None,None,None,None,None,Treatment arm
1198,None,None,None,None,None,Treatment arm
1202,Active treatment type,Placebo groups had signifiantly higher dropout than active antidepressant groups,Metaregression,R-squared; p-value,29.7; p=0.02,"Study duration, treatment discontinuation method, dosing schedule, run-in treatment duration, maintenance treatment duration, location, study year, targeted condition"
1360,None,None,None,None,None,Treatment arm
1519,Active treatment type,CBT and inactive control had less dropout for any reason than treatment as usual,"NMA, several comparisons, all RR <1",RR [95% CI]; p-value,RR <1,"Number of sessions, study duration, setting, therapist qualifications, baseline condition severity, open-label, completers-only reporting, risk of bias, risk of allegiance, treatment-resistant focus, treatment arm"
1643,None,None,None,None,None,"Treatment arm, clinical diagnosis, sample size, treatment duration, current density, number of sessions"
1655,Intervention elements,Including yoga postures was significantly associated with greater dropout than not including postures,Subgroup analyses,Dropout rate [95% CI]; Chi-sq; p-value,"12.00 [10.53, 13.46]; 8.32; p=0.004",Study location
1655,Intervention elements,Including meditation was significantly associated with greater dropout than not including postures,Subgroup analyses,Dropout rate [95% CI]; Chi-sq; p-value,"12.67 [10.75, 14.60]; 3.70; p=0.05",Study location
1655,Intervention duration,Longer intervention duration was significantly associated with higher dropout,Subgroup analyses,Dropout rate [95% CI]; Chi-sq; p-value,"15.23 [11.79, 18.68]; 7.21; p=0.03",Study location
1655,Treatment arm,Yoga groups had significantly lower dropout compared to exercise control groups,Subgroup analyses,OR [95% CI]; p-value,"0.82 [0.68, 0.98]; p=0.03",Study location
2125,Having trained facilitators,Having trained facilitators for control conditions was significantly associated with lower differential attrition,Metaregression,Coefficient; p-value,-0.34; p=0.026,"Non-clinical population, number of sessions, active treatment type, control treatment type, treatment format, treatment adaptation, mindfulness-based relapse prevention programmes, publication year, country"
2125,Recruitment setting,Recrutiment in a clinical setting was associated with higher overall attrition,Metaregression,Coefficient; p-value,0.07; p=0.022,"Non-clinical population, number of sessions, active treatment type, control treatment type, treatment format, treatment adaptation, mindfulness-based relapse prevention programmes, publication year, country"
2125,Use of mindfulness based relapse prevention programmes,Use of MBRP was associated with higher overall attrition for control participants,Metaregression,Coefficient; p-value,0.13; p=0.019,"Non-clinical population, number of sessions, active treatment type, control treatment type, treatment format, treatment adaptation, mindfulness-based relapse prevention programmes, publication year, country"
2260,Trial design,Overall dropout rates were significantly higher in parallel trials than in crossover trials,Independence testing,"Dropout rate, p-value",25% vs 9%; p<0.001,Treatment arm
2260,Trial design,Dropouts due to adverse events and perceived lack of effect were significantly more common in parallel trials than in crossover trials,Independence testing,"Dropout rate, p-value",5% vs 3%; p=0.004,Treatment arm
2260,Drug-treatment group,Dropouts due to adverse events were significantly more common in drug-treatment groups compared to placebo,Independence testing,"Dropout rate, p-value",7% vs 2%; p<0.001,Treatment arm
2260,Placebo group,Dropouts due to perceived lack of effect were significantly more common in placebo groups,Independence testing,"Dropout rate, p-value",6% vs 2%; p<0.001,Treatment arm
2307,Trauma focused therapy,Therapies with a trauma focus were significantly associated with higher dropout compared to therapies without a trauma focus,Metaregression,Coefficient [95% CI]; p-value,"0.069 [0.011, 0.127]; p=0.021","Delivery format, recruitment format"
2342,Treatment arm,Guided self-help and self-help treatment groups had significantly lower end of treatment dropout than comparison treatments,Random effects model,OR [95% CI]; p-value,"0.63 [0.41, 0.95]; p=0.03",
2520,None,None,None,None,None,Active treatment type
3001,Blinded groups,The risk of dropout in nonblind control groups was 79% higher than blinded control groups,Random effects model,Average risk ratio (range),1.79 (1.18 - 2.70),
3048,Trial type,Trials of shoulder and elbow surgery reported significantly higher loss to follow-up than all other trial types,Univariate analysis,p-value,p=0.04,"Impact factor, sample size, orthopaedic speciality"
3048,Follow-up strategy,Trials using remote follow-up strategies reported significantly higher reported loss to follow-up than trials using an in-office follow-up strategy,Univariate analysis,p-value,p=0.01,"Impact factor, sample size, orthopaedic speciality"
3048,Funding source,"Trials with foundation or institute funding reported significantly higher loss to follow-up than trials funded by government,industry or unreported sources",Univariate analysis,p-value,p<0.01,"Impact factor, sample size, orthopaedic speciality"
3048,Location,Trials conducted in the US had significantly higher loss to follow-up than trials conducted in non-US countries,Logistic regression,p-value,p=0.05,"Impact factor, sample size, orthopaedic speciality"
3048,Follow-up duration,Studies with a minimum follow-up length of three years had significantly higher loss to follow-up than studies with shorter minimum follow-up time,Logistic regression,p-value,p=0.01,"Impact factor, sample size, orthopaedic speciality"
3123,Randomised patient preference treatment arm,Randomised cohorts had significantly higher loss to follow-up than preference cohorts,Random effects model,Risk ratio [95% CI]; p-value,"1.30 [1.0, 1.6]; p=0.03",
3123,Use of crossover,Randomised crossover cohorts had significantly higher loss to follow-up than preference crossover cohorts,Random effects model,Risk ratio [95% CI]; p-value,"2.60 [1.07, 3.90]; p<0.001",
